SPS	12	Závit M30x3(L5) LH-6g. O jaký závit se jedná?	B	Trojchodý levý vnější metrický závit	Dvouhodý levý vnější metrický závit	Dvouhodý pravý vnitřní metrický závit	Trojchodý levý vnitřní metrický závit
SPS	13	Co musí být splněno, aby byl závit samosvorný?	A	Třecí úhel musí být větší než úhel stoupání	Úhel stoupání musí být větší než třecí úhel	Úhel stoupání musí být větší než úhel profilu závitu	Třecí úhel musí být větší než úhel profilu závitu
SPS	14	Na jaké druhy namáhání se pevnostně kontroluje závit šroubu?	C	Pouze na tah	Pouze na střih	Na otlačení a střih	Na tah a tlak
SPS	15	Na jaké druhy namáhání se pevnostně kontroluje dřík lícovaného šroubu?	C	Pouze na tah	Pouze na střih	Na otlačení a střih	Na tah a tlak
SPS	16	Jaký šroub vidíte na obrázku?	B	Lícovaný	Stavečí	Závitový	Vratový
SPS	17	Jakou matici vidíte na obrázku?	B	KM	Korunkovou	Křídlovou	Samojistnou
SPS	18	Jakou podložku vidíte na obrázku?	B	Pružnou	Vějířovou	Nord-Lock	Ozubenou
SPS	19	Jaký závit má šroub na obrázku?	A	Jednochodý levý závit	Dvouhodý pravý závit	Trojchodý levý závit	Čtyřchodý pravý závit
SPS	20	Šroub na obrázku má velikost (je označen jako) M10 x 45 dle normy ISO 4014. Které písmenko na obrázku lze nahradit číslem 45 (tedy délkou šroubu v mm)?	B	A	B	C	D
SPS	21	Který z těchto druhů spojů se považuje za nerozebíratelný?	D	Šroubový spoj	Kolíkový spoj	Čepový spoj	Nýtový spoj
SPS	22	Který z těchto spojů se primárně nepovažuje za spoj s tvarovým stykem?	A	Šroubový spoj	Kolíkový spoj	Čepový spoj	Nýtový spoj
SPS	23	Která z těchto spojovacích součástí se kontroluje i na ohyb?	C	Šroub	Kolík	Čep	Nýt
SPS	24	Ke kterému z uvedených účelů je nejméně vhodný kotlíkový spoj?	B	K ustavení vzájemné přesné polohy	K vytváření kloubového spoje	K přenosu síly kolmé k ose kotlíku	K přenosu krouticího momentu z hřídele na náboj
SPS	25	Který druh kotlíku má vůči ostatním nejnižší hmotnost (při podobných rozměrech)?	C	Válcový kotlík	Kuželový kotlík	Pružný kotlík	Rýhovaný kotlík
SPS	26	Který druh kotlíku je pojištěn vůči vypadnutí samosvorností?	B	Válcový kotlík	Kuželový kotlík	Pružný kotlík	Rýhovaný kotlík
SPS	27	Který druh kotlíku je pojištěn vůči vypadnutí správným uložením (nejčastěji 17/m6)?	A	Válcový kotlík	Kuželový kotlík	Pružný kotlík	Rýhovaný kotlík
SPS	28	Kterou z těchto spojovacích součástí nekontrolujeme primárně (pouze) na otlačení a střih?	A	Lícovaný šroub	Válcový kotlík	Dutý čep	Nýt s půlkulovou hlavou
SPS	29	Čepy jsou v otvorech spojovaných součástí uloženy …	A	s vůlí	s přesahem	přechodně	libovolně
SPS	30	Při použití které z těchto normalizovaných součástí (v souvislosti s pojištěním čepového spoje) není potřeba dělat v čepu drážku určitého tvaru?	A	Přidržka čepu	Třmenový kroužek	Vnější pojistný kroužek	Závlačka
SPS	31	Přímé nýtování za studena znamená, že se jedná o nýtování …	A	bez použití nýtu při běžné okolní teplotě	bez použití nýtu při teplotě pod bodem mrazu	s použitím nýtu při běžné okolní teplotě	s použitím nýtu při teplotě pod bodem mrazu
SPS	32	Po nýtování za tepla vzniká nýtový spoj …	B	pouze se silovým stykem	pouze s tvarovým stykem	s tvarovým i silovým stykem	pouze s materiálovým stykem
SPS	33	Který z uvedených parametrů nepatří mezi výhody nýtových spojů (oproti svarovým spojům)?	D	Lze spojovat různé materiály	Lze vytvářet spoje v hůře přístupných místech	Vysoká pružnost spoje	Těsnost spoje
SPS	34	Který z uvedených parametrů nepatří mezi nevýhody nýtových spojů (oproti svarovým spojům)?	D	Vysoká hlučnost při nýtování	Vyžadují spoustu přípravných prací	Zeslabení materiálu v místě spoje	Dochází k deformacím nahromaděním tepla
SPS	35	Pro které druhy kolíků je nutné vyrobit ve spojovaných součástech přesnou (vystřeženou) díru?	A	Pro válcové a kuželové kolíky	Pro kuželové a rýhované kolíky	Pro pružné a válcové kolíky	Pro pružné a rýhované kolíky
SPS	36	Co se nejpravděpodobněji nachází na obrázku?	B	Kotlík	Čep	Nýt	Hýbná hřídel
SPS	37	Jaký druh kolíku se nachází na obrázku?	C	Válcový	Rýhovaný	Pružný	Kuželový
SPS	38	Čím je nejvhodnější pojistit čep na obrázku? Předpokládejte, že se na čepu nebudou dělat žádné úpravy!	A	Pojistným kroužkem	Křídlovou maticí	Stavěcím šroubem	Přidržkou čepů
SPS	39	Jaký druh nýtu se nachází na obrázku?	D	Rozklepávací sešívací	Plný s půlkulovou hlavou	Dvoudílný uzavřený	Dutý trhací
SPS	40	Jakou součástí z uvedených nelze zajistit tento čep na obrázku? Předpokládejte, že se na čepu nebudou dělat žádné úpravy!	D	Vnitřním pojistným kroužkem	Stavěcím šroubem	Třmenovým kroužkem	Závlačka
SPS	41	Který z těchto spojů se neřadí (ani částečně) mezi spoje s tvarovým stykem?	D	Neokrouhlý spoj	Klínový spoj	Drážkový spoj	Tlakový spoj
SPS	42	Který z těchto spojů se neřadí mezi spoje nerozebíratelné?	C	Svarový spoj	Tlakový spoj	Svěrný spoj	Pájený spoj
SPS	43	Jaká spojovací součást se používá pro vznik svěrného spoje?	A	Šroub	Kotlík	Pero	Čep
SPS	44	Šířka drážky v náboji i hřídeli pro těsné pero dle normy ČSN 02 2562 musí být vyrobena přesně. Jaké parametry z hlediska rozměru a drsnosti se na její boky předepisují?	A	Šířka drážky je vždy v toleranci P9 a na bokách drážek je drsnost Ra 3,2	Šířka drážky je vždy v toleranci P9 a na bokách drážek je drsnost Ra 1,3	Šířka drážky je vždy v toleranci H9 a na bokách drážek je drsnost Ra 3,2	Šířka drážky je vždy v toleranci H9 a na bokách drážek je drsnost Ra 1,3
SPS	45	Který druh pera se používá pro spojení hřídele s nábojem, pokud požadujeme častý axiální posuv náboje po hřídeli?	B	Těsné pero	Výměnné pero	Woodruffovo pero	Kotoučové pero
SPS	46	Které pero mezi ostatní logicky nepatří?	B	Výměnné pero	Kotoučové pero	Úsečové pero	Woodruffovo pero
SPS	47	U kterých druhů per je nutné pojistit náboj vůči hřídeli v axiálním směru?	C	Pouze u spojení těsným perem	Pouze u spojení woodruffovým perem	U všech kromě výměnného pera	U všech kromě woodruffova pera
SPS	48	Při použití kterého druhu pera je nejméně zeslaben průřez hřídele (vzhledem k její pevnosti)?	A	Při použití těsného pera	Při použití výměnného pera	Při použití woodruffova pera	Při použití úsečového pera
SPS	49	Na který z těchto druhů namáhání obvykle (pouze) kontrolujeme normalizovaná těsná pera?	C	Otlačení mezi hřídelem a perem	Otlačení mezi nábojem a perem	Střih pera	Střih hřídele
SPS	50	Které z těchto spojení dokáže (při zachování podobných rozměrů) přenést největší krouticí moment?	D	Spojení se dvěma těsnými pery	Spojení s rovnoběžným drážkováním	Spojení s jedním ploským klínem	Svěrný spoj s rozříznutým nábojem
SPS	51	Který druh drážkování je nejvíce podobný teoretickému použití spojení s několika těsnými pery?	A	Rovnoboké drážkování	Evolventní drážkování	Jemné drážkování	Woodruffovo drážkování
SPS	52	U kterého z těchto druhů spojení hřídele s nábojem s tvarovým stykem není nutné pojišťovat náboj v axiálním směru?	D	U spojení těsným perem	U spojení neokrouhlým spojením	U spojení jemným drážkováním	U spojení ploským klínem
SPS	53	U spojení kterým druhem klínu není potřeba dělat tvarové změny na hřídeli při výrobě?	B	Při spojení pomocí třecího klínu	Pří spojení pomocí ploského klínu	Při spojení pomocí drážkového klínu	Pří spojení pomocí tangenciálního klínu
SPS	54	Co je jednou ze základních výhod svěrných (a rozpěrných) spojů oproti ostatním druhům spojení hřídele s nábojem?	B	Přenášení největších kroutících momentů	Jsou výrobně nejjednodušší	Náboj Ize na hřídel namontovat v libovolné poloze	Dochází u nich částečně i k tvarovému styku
SPS	55	Tlakový spoj vytvořený lisováním za studena vznikne tak, že ...	A	se hřídel silou (pomocí lisu) vtlačí do díry v náboji za běžné okolní teploty.	se hřídel silou (pomocí lisu) vtlačí do díry v náboji za teploty pod bodem mrazu.	se hřídel zchladí a vloží se volně do díry v náboji.	se náboj zchladí a vloží se volně do díry v hřídeli.
SPS	56	Jaká součást je na obrázku?	C	Pero	Čep	Klín	Kolík
SPS	57	Jakou hlavu by měl mít šroub, který se vkládá do otvoru v součásti na obrázku?	C	Šestihrannou	Kuželovou	Čočkovitou	Válcovou
SPS	58	Pro jakou součást je vytvořena drážka v hřídeli na obrázku?	A	Pro Woodruffovo pero	Pro ploský klín	Pro těsné pero	Pro drážkový klín
SPS	59	Co je na obrázku?	A	Pomůcka pro vytvoření tlakového spoje za studena	Upínací pouzdro pro přenos kroutícího momentu silovým stykem	Celek s evolventním drážkováním pro přenos momentu tvarovým stykem	Tangenciální klín
SPS	60	Součást na obrázku má uvnitř v otvoru vyrobeno	B	vnitřní ozubení.	rovnoboké drážkování.	jemné drážkování.	neokrouhlé spojení.
SPS	61	Která z těchto hřídelí nepřenáší kroutící moment?	A	Nosná hřídel	Hybná hřídel	Kliková hřídel	Předlohová hřídel
SPS	62	V jakém provedení se konstruují hybné hřídele?	A	Vždy otočně	Vždy nepohyblivě	Otočně i nepohyblivě	Nezáleží na konstrukci
SPS	63	Na jaký druh namáhání primárně kontrolujeme nosné hřídele?	A	Ohyb	Střih (smyk)	Vzpěr	Krut
SPS	64	Které tvrzení o hřídelových čepech NENÍ pravdivé?	D	Jsou to části hřídele, které jsou ve styku s ložiskem.	Přenášejí všechny síly mezi hřídelí a rámem stroje nebo ložiskem.	Dělíme je na axiální, radiální a kombinované.	Jsou vždy kontrolovány na ohyb i krut.
SPS	65	Který z těchto hřídelových čepů NENÍ určen k zachycení síly rovnoběžné s osou hřídele?	C	Krční	Hřebenový	Kulový	Kuželový
SPS	66	Který z těchto hřídelových čepů NENÍ určen k zachycení síly kolmé k ose hřídele?	A	Krční	Hřebenový	Kulový	Kuželový
SPS	67	Na jaký druh namáhání kontrolujeme axiální hřídelové čepy?	B	Ohyb	Otlačení	Krut	Střih (smyk)
SPS	68	Který z těchto hřídelových čepů NEPOTŘEBUJE nutně dělený náboj?	C	Krční	Hřebenový	Kulový	Kuželový
SPS	69	Co se rozumí pojmem "kritické otáčky" hřídele?	C	Jsou to maximální otáčky hřídele při větších otáčkách hřídel nemůže pracovat.	Jsou to minimální otáčky hřídele při menších otáčkách hřídel nemůže pracovat.	Jsou to otáčky, při kterých hřídel nemůže pracovat musí pracovat bud' v nižších nebo vyšších otáčkách.	Jsou to otáčky, při kterých nedochází ke kmitání hřídele způsobené vlastní tíhou.
SPS	70	Na kterém parametru primárně závisí velikost "kritických otáček" hřídele?	B	Průhyb hřídele způsobený vlastní tíhou.	Druh ložisek, ve kterých je hřídel uložena.	Funkce hřídele zda je nosná nebo hybná.	Počet konstrukčních vrubů na hřídeli.
SPS	71	Co způsobuje každý tzv. konstrukční vrub na hřídeli?	A	Zvýšenou koncentraci napětí	Změnu způsobu namáhání hřídele	Lepší drsnost povrchu	Zvýšení ohybového momentu
SPS	72	Který z uvedených prvků hřídele NENÍ konstrukčním vrubem?	B	Drážka pro pero	Hřídelový čep	Zápich	Jemný závit pro KM matici
SPS	73	Který z těchto parametrů NENÍ potřebný k výpočtu velikosti přenášeného kroutícího momentu na hřídeli?	D	Přenášený výkon	Otáčky hřídele	Ludolfovo číslo	Modul průřezu v krutu
SPS	74	Na čem NEZÁVISÍ volba materiálu hřídele?	D	Na způsobu a velikosti zatížení	Na požadované hmotnosti	Na požadovaném tepelném zpracování	Na druhu ložisek na hřídeli
SPS	75	Který vzorec byste použili pro výpočet redukovaného momentu na hybné hřídeli (kruhového průřezu)?	C	M_RED = √(M_O² + 3·M_K²)	M_RED = √(M_O² + 4·M_K²)	M_RED = √(M_O² + 0,75·M_K²)	M_RED = √(M_O² + M_K²)
SPS	76	Na obrázku je schéma (řez) jednostupňové převodovky. Jaký způsobem je namáhána výstupní hřídel v (červeně) označeném místě?	C	Pouze na ohyb	Pouze na krut	Na ohyb i krut	Hřídel v tomto místě není namáhána
SPS	77	Jaký druh hřídele je na obrázku?	B	Nosná	Kliková	Vačková	Na obrázku není hřídel
SPS	78	K čemu je vyrobena (šipkou) označená drážka na vyobrazené hřídeli?	C	Pro těsné pero	Pro ploský klín	Pro MB podložku	Pro pojistný kroužek
SPS	79	Na obrázku se nachází Kardanová hřídel. O jaký druh hřídele se tedy jedná?	B	Nosnou	Hybnou	Klikovou	Vyvažovací
SPS	80	Na obrázku se nachází průřez jednostupňovou šnekovou převodovkou. Vstupní (modrá) hřídel je v místech A a C uložena v ložiscích, uprostřed mezi ložisky (místo B) se nachází šnek (který je v záběru se šnekovým kolem nad ním) a v místě D je vstupní válcový konec (pro připojení k pohonu). Mezi jakými dvěma místy na této hřídeli působí kroutící moment?	D	Mezi A a C	Mezi A a D	Mezi B a C	Mezi B a D
SPS	81	Jak se nazývá druh svaru, u kterého svařované součásti leží (plochou) na sobě svar je mezi těmito plochami?	D	Tupý svar	Lemový svar	Koutový svar	Přeplátovaný svar
SPS	82	Do které kategorie svarů lze zařadit svar tvaru "U"?	A	Tupé svary	Lemové svary	Koutové svary	Přeplátované svary
SPS	83	Který z uvedených materiálů je nejhůře svařitelný (resp. obvykle nesvařitelný)?	D	Oceli	Neželezné kovy	Plasty	Litiny
SPS	84	Co nepatří mezi výhody svařování?	D	Vysoká produktivita vytváření spojů	Malá hlučnost v průběhu práce	Těsnost vytvořeného spoje	Poddajnost vytvořeného spoje bez pnutí
SPS	85	Pro který z uvedených svarů obvykle není potřeba přídavný materiál?	C	Děrový svar	Rohový svar	Lemový svar	Svar tvaru "V"
SPS	86	Čemu se nejvíce podobá značka pro označení montážního svaru?	B	Kružnici	Praporku	Písmenu "Z"	Pravoúhlému trojúhelníku
SPS	87	Jaký druh tepelného zpracování se provádí u svařenců za účelem snížení vnitřního pnutí?	A	Žíhání	Kalení	Popouštění	Zušlechtování
SPS	88	Kterou z uvedených zásad NENÍ vhodné dodržet při konstruování velkého složitého svařence se žebry?	D	Přesné rozměry svařence obrábět až po svaření	Na výkrese předepsat vhodné tepelné zpracování pro snížení pnutí po svaření	U žeber nepoužívat ostré hrany	Na výkrese předepisovat raději větší a delší svary bez přerušení
SPS	89	Na jaký druh namáhání kontrolujeme vždy přeplátované spoje?	B	Tah	Střih	Ohyb	Krut
SPS	90	Čím vzniká pájený spoj?	C	Adhezí	Kohezí	Difuzí	Natavením stykových ploch
SPS	91	Co je to "pájka"?	B	Přístroj pro tavení přídavného materiálu při pájení	Přídavný materiál pro vznik pájeného spoje	Nástroj pro přípravu stykových ploch pro pájení	Kyselina pro chemické očištění stykových ploch před pájením
SPS	92	Přídavné materiály pro pájení rozlišujeme na měkké a tvrdé. Který z uvedených materiálů by se dal zařadit do měkkých?	D	Měd'	Zinek	Stříbro	Cín
SPS	93	Co nepatří mezi výhody pájených spojů?	D	Možnost spojování i hůře tavitelných materiálů	Nedochází k tepelnému ovlivnění oblasti kolem spoje	Jednoduchost zařízení	Vysoká pevnost spojů
SPS	94	Co nepatří mezi výhody lepených spojů?	D	Lepidla mají izolační vlastnosti	Lze spojovat i jinými způsoby nespojitelné materiály	Nízká hmotnost přídavného materiálu	Stálost spoje i za vyšších teplot
SPS	95	Na co si nemusíte dát pozor při konstruování (navrhování) lepeného spoje?	D	Na maximální možnou velikost stykové plochy	Na skutečnost, aby byl spoj namáhaný pouze na střih	Na volbu vhodného lepidla	Na nízkou hmotnost lepidla
SPS	96	Jaký druh svaru je na obrázku?	D	Tupý	Lemový	Koutový	Přeplátovaný
SPS	97	Na výkrese se u svaru nachází následující značka. O jaký svar se nejedná?	D	Koutový	Vypouklý	Kontinuální (nepřerušovaný)	Montážní
SPS	98	Na výkrese se u svaru nachází následující značka. O jaký svar se jedná?	C	Přeplátovaný	Obvodový	Přerušovaný	Svar délky 111 mm
SPS	99	Dvě zobrazené součásti (hranaté trubky) jsou spojeny červeně vyobrazeným bodovým svarem a jsou namáhány zakreslenými silami. Jakým způsobem je svar namáhán?	B	Střihem (smykem)	Tahem	Tlakem	Ohybem
SPS	100	V rámci výroby vyobrazeného celku (žlutá deska a modrý váleček) je potřeba udělat tyto operace: 1- Svaření desky s válečkem 2- Obrobení čelních ploch 3- Výroba přesného rozměru s tolerancí H7 4- Výroba hrubého plného válečku s Ø40 Jaký je nejvhodnější postup při výrobě vyobrazeného celku?	A	4-1-2-3	4-2-3-1	4-3-2-1	4-3-1-2
SPS	101	Jak se nazývá součást potrubí, která slouží k vyrovnání změny délek potrubí v důsledku změny teploty?	C	Armatura	Třmen	Kompenzátor	Fitinka
SPS	102	Která z uvedených součástí potrubí se neřadí mezi armatury?	D	Součást sloužící k regulaci průtoku v potrubí	Součást sloužící k odvzdušněné potrubí	Součást sloužící k měření tlaku v potrubí	Součást sloužící ke změně směru proudění
SPS	103	Co znamená, když je na trubce napsáno "PN10"?	D	Znamená to, že maximální pracovní tlak je 10 MPa.	Znamená to, že maximální pracovní tlak je 1 MPa.	Znamená to, že maximální pracovní přetlak je 1 MPa.	Znamená to, že maximální pracovní přetlak je 10 MPa.
SPS	104	Co znamená, když je na trubce napsáno "DN400"?	A	Znamená to, že vnitřní průměr potrubí je přibližně 400 mm.	Znamená to, že vnější průměr potrubí je přibližně 400 mm.	Znamená to, že vnitřní průměr potrubí je přibližně 40 mm.	Znamená to, že vnější průměr potrubí je přibližně 40 mm.
SPS	105	Na kterém z uvedených parametrů nezávisí minimální tloušťka stěny potrubí?	D	Na průměru potrubí	Na materiálu potrubí	Na pracovním tlaku v potrubí	Na rychlosti proudění v potrubí
SPS	106	Jaký druh materiálu trubky je nejméně vhodný pro vedení odpadního potrubí?	A	Ocelové potrubí	Litinové potrubí	Plastové potrubí	Betonové potrubí
SPS	107	Co nepatří mezi výhody plastových potrubí?	C	Nízká hmotnost	Hladkost stěn	Vysoká pevnost	Jednoduché spojování
SPS	108	Ke kterému druhu spojení trubek jsou potřeba šrouby a matice jako spojovací materiály?	B	Hrdlové spojení	Přírubové spojení	Závitové spojení	Pájené spojení
SPS	109	Který druh spojení trubek lze nejlépe utěsnit pomocí Iněných vlasců nebo teflonových pásek?	C	Hrdlové spojení	Přírubové spojení	Závitové spojení	Pájené spojení
SPS	110	Na kterém z uvedených parametrů NEZÁVISÍ velikost prodloužení trubky při zvýšení její teploty?	A	Světlost trubky	Počáteční délka trubky	Materiál trubky	Rozdíl mezi počáteční a konečnou teplotou
SPS	111	Jak se nazývá prvek potrubí, který zajišťuje, aby dopravovaná látku proudila pouze v jednom směru?	A	Zpětná klapka	Pojistný ventil	Regulační šoupátko	Trojcestný kohout
SPS	112	Jak se nazývá prvek potrubí, kterým nelze regulovat velikost průtoku dopravované látky?	B	Škrticí klapka	Pojistný ventil	Regulační šoupátko	Přímý jednocestný kohout
SPS	113	Pro správnou funkci potrubí je třeba zajistit, aby ...	B	na začátku a na konci potrubí byl neustále rozdílný tlak.	byl tlak po celé délce potrubí konstantní.	... byl tlak dopravované látky v potrubí pokud možno nulový.	byla poloha jejího začátku vždy níže než jeho konce.
SPS	114	Co udává tzv. pracovní stupeň potrubí?	A	Maximální přetlak v potrubí v závislosti na teplotě přepravované látky	Maximální přetlak v potrubí v závislosti na světlosti potrubí	Maximální teplotu přepravovaného média v závislosti na tlaku v potrubí	Maximální teplotu přepravovaného média v závislosti na světlosti potrubí
SPS	115	Jaká je základní jednotka veličiny "objemový průtok"?	A	m²/s	m³/kg	$kg/m^{3}$	kg/s
SPS	116	Co zobrazuje tato schématická značka na potrubním schématu?	D	Hydromotor	Tlakoměr	Filtr	Kohout
SPS	117	Jaká součást je na obrázku?	B	Pojistné šoupátko	Škrticí klapka	Teplotní kompenzátor	Třícestný ventil
SPS	118	O jaké spojení trubek se jedná, pokud se několik takových trubek na obrázku spojí za sebe?	A	Hrdlové spojení	Přírubové spojení	Závitové spojeni	Gumové spojení
SPS	119	Jak se souhrnně nazývají součásti na obrázcích?	C	Armatury	Třmeny	Fitinky	Příruby
SPS	120	K čemu nelze použít součást na obrázku?	D	Ke snížení přenosu hluku a vibrací po potrubí	Ke kompenzaci teplotních dilatací potrubí	K vyrovnání montážních nepřesností	K regulaci tlaku v potrubí
SPS	121	Ozubené převody jsou	B	přímé převody se silovým stykem.	přímé převody s tvarovým stykem.	nepřímé převody se silovým stykem.	nepřímé převody s tvarovým stykem.
SPS	122	Co NEPATŘÍ mezi výhody ozubených převodů?	D	Přenos velkých výkonů	Stálý převodový poměr	Velmi dlouhá životnost	Tlumí rázy
SPS	123	Osy ozubených kol kuželového soukolí jsou navzájem	C	kolineární.	rovnoběžné.	různoběžné.	mimoběžné.
SPS	124	Jaký je poměr mezi velikostí průměrů základní ($D_{b}$) a roztečné ($D$) kružnice u běžného čelního ozubeného kola s vnějším ozubením?	A	$D_{b}<D$	$D_{b}>D$	$D_{b}=D$	Nelze jednoznačně rozhodnout záleží na modulu.
SPS	125	Který z těchto parametrů ozubeného čelního soukolí s vnějším ozubením NELZE spočítat pomocí modulu?	A	Osovou vzdálenost	Převodový poměr	Hlavovou vůli	Šířku ozubení
SPS	126	Které tvrzení NENÍ pravdivé o "základním profilu" evolventního ozubení?	A	Průměr roztečné kružnice se rovná nekonečnu.	Má rovné boky zubů.	Jeho tvar a parametry se používají při výrobě nástrojů k výrobě ozubených kol.	Výška hlavy zubu není rovna modulu ozubení (při úhlu záběru 20°).
SPS	127	Jak NELZE dosáhnout toho, aby nedošlo u čelního ozubeného kola s přímými zuby k podřezání jeho pały?	D	Změnou úhlu záběru	Změnou profilu boku zubu	Korekcí ozubení	Změnou modulu ozubení
SPS	128	Při kterém z těchto případů dojde k podřezání paty zubu čelního ozubeného kola s přímými zuby s úhlem záběru 20°?	C	Při výrobě ozubeného kola, které má 18 zubů.	Při výrobě ozubeného kola, které má 15 zubů.	Při běhu (provozu) ozubeného kola, které má 18 zubů.	Pří běhu (provozu) ozubeného kola, které má 15 zubů.
SPS	129	Který z těchto parametrů se změní, pokud při výrobě čelního ozubeného kola s přímými zuby použijeme korekci (v porovnání s tím, pokud bychom ji nepoužili)?	A	Úhel záběru	Šířka ozubení	Modul ozubení	Výška zubu
SPS	130	Která z těchto sil je u čelního ozubeného kola s přímými zuby při záběru nulová?	B	Tangenciální síla	Radiální síla	Axiální síla	Normálová síla
SPS	131	Jak NEJSOU namáhány zuby ozubených kol?	B	Na ohyb	Na krut	Na otlačení	Otěrem
SPS	132	Který parametr není důležitý při kontrole zubu ozubeného kola na ohyb?	D	Přenášený moment	Modul ozubení	Materiál ozubeného kola	Drsnost boku zubu
SPS	133	Co NEPATŘÍ mezi výhody čelních ozubených kol se šikmými zuby (v porovnání s přímými zuby)?	A	Tichý chod	Menší rozměry (moduly)	Přenos větších výkonů	Menší namáhání ložisek
SPS	134	Jaká je hlavní výhoda šnekových soukolí?	D	Velká účinnost	Přenos obrovských výkonů	Malé namáhání ložisek	Velké převodové poměry
SPS	135	Která z těchto sil je u kuželového ozubeného kola (úhel os 90°) při záběru nulová?	D	Tangenciální síla	Radiální síla	Axiální síla	Axiální, radiální i tangenciální jsou nenulové.
SPS	136	Čím vzniklo typické poškození ozubeného kola na obrázku?	A	Pittingem	Lomovým porušením	Gallingem	Abrazí
SPS	137	O jaký druh ozubeného soukolí na obrázku se jedná?	C	Čelní	Paloidní	Hypoidní	Šnekové
SPS	138	Jaký typ ozubeného kola je na obrázku?	D	Čelní ozubené kolo s přímými zuby	Kuželové ozubené kolo	Čelní ozubené kolo s šikmými zuby	Šnekové ozubené kolo
SPS	139	Na obrázku je nekorigované čelní ozubené kolo s deseti přímými zuby. Kterou kótu na obrázku nelze vypočítat pouze se znalostí hodnoty modulu a zmíněného počtu zubů?	B	A	B	C	D
SPS	140	Který ze zakótovaných průměrů ozubeného kola Ize nazvat jako patní?	C	A	B	C	D
SPS	141	Jaký druh tření vzniká v kluzných ložiscích?	B	Valivé tření	Smykové tření	Vláknové tření	Nevzniká v něm tření
SPS	142	Který druh tření v kluzných ložiscích má nejnižší součinitel smykového tření?	C	Suché	Polosuché	Kapalinné	Vlhké
SPS	143	Který druh tření v kluzných ložiscích lze použít pouze pro malé rychlosti pohybu?	A	Suché	Polosuché	Kapalinné	Vlhké
SPS	144	Které kluzné ložisko se NESKLÁDÁ z více částí?	A	Ložiskové pouzdro	Ložisková pánev	Segmentové ložisko	Pouzdro, pánev i segmentové ložisko se skládají z více částí
SPS	145	Který z těchto materiálů kluzných ložisek nejméně snáší rázy?	B	Ložiskové kompozice	Slitiny mědi	Slitiny hliníku	Šedá litina
SPS	146	Kluzná ložiska NEKONTROLUJEME na	D	otlačení.	oteplení.	maximální kluznou rychlost.	ohyb.
SPS	147	K čemu slouží u valivých ložisek klec?	A	Držení valivých elementů	Zabránění vniku nečistot do ložiska	Uložení ložiska na hřídeli	Uložení ložiska v náboji
SPS	148	Které ložisko se NEPOVAŽUJE za ložisko s "čarovým" stykem?	A	Kuličkové ložisko	Kuželíkové ložisko	Válečkové ložisko	Jehlové ložisko
SPS	149	Které z těchto ložisek NEDOKÁŽE zachytit axiální i radiální sílu dohromady?	D	Kuličkové ložisko s kosoúhlým stykem	Soudečkové ložisko	Kuželíkové ložisko	Jehlové ložisko
SPS	150	Které z těchto ložisek NEDOKÁŽE zachytit žádnou axiální sílu (bez ohledu na speciální konstrukce)?	B	Axiální kuličkové ložisko	Jednořadé soudečkové ložisko	Kuželíkové ložisko	Válečkové ložisko
SPS	151	Které z těchto ložisek je nejméně vhodné pro snášení velkých rázů?	C	Kuličkové ložisko	Kuželíkové ložisko	Jehlové ložisko	Válečkové ložisko
